2017-08-28 08:58:38
emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
-110,-1,-1,3,-8,-1,-3,-3
-124,3,-1,-7,2,-1,0,0
-128,2,0,-3,-4,-3,-3,-2
-128,-10,-4,-5,-1,-10,-2,-4
-119,0,5,8,-4,8,0,-3
-128,2,-1,8,7,3,2,2
-128,-2,1,1,3,2,1,2
-128,3,-2,-7,-4,1,0,3
-124,-4,-4,-4,-3,-8,-3,-1
-128,-4,-2,-4,-7,-7,-5,-3
-125,2,-3,-3,-9,-12,-3,-3
-128,-1,-1,10,14,10,2,3
-127,-1,-2,-7,-4,5,2,1
-120,0,-1,3,8,10,5,3
-128,-3,-3,0,-2,-13,-6,-1
-128,-2,1,-2,-9,-2,0,-2
-124,-3,-4,-3,3,3,-1,-1
-125,-3,-3,-9,-11,-6,-5,-5
-128,-1,2,1,1,0,0,1
-128,0,-1,-1,6,1,1,-1
-110,-3,-4,-6,1,7,7,2
-124,-6,-5,-2,-8,-7,-1,0
-128,2,-1,-2,-4,2,-3,-3
-128,3,-1,2,4,2,-3,1
-119,0,1,-2,-4,-3,0,-3
-128,2,-2,0,8,12,17,5
-128,-5,-1,-1,-1,-4,5,-1
-128,0,-2,-6,-10,-14,-7,-6
-124,-2,-1,5,3,9,-2,0
-128,-1,0,-5,-8,-17,-14,-7
-125,-3,-1,3,7,5,4,-4
-128,11,4,3,10,17,11,6
-127,-15,-3,-4,-4,-6,-5,0
-120,3,-3,-5,-16,-27,-18,-6
-128,-5,3,15,25,35,13,10
-128,-3,-4,-2,6,7,-4,-8
-124,14,-2,-1,3,9,15,8
-125,-3,3,4,-4,1,1,-1
-128,-1,-2,-10,-17,-26,-19,-6
-128,-12,-4,-3,-10,-8,-7,-3
-123,2,1,0,-2,1,-3,-3
-127,2,-3,-2,3,9,-2,-1
-128,3,-1,-5,-7,-10,1,-3
-128,-10,1,2,7,5,2,1
-126,0,-1,-4,-5,-10,-9,-5
-128,-2,0,-1,2,4,-1,-4
-128,0,-4,-5,-7,-2,-4,0
-128,1,1,2,3,-2,6,6
-127,-6,-4,-6,-20,-9,-4,-3
-128,0,4,10,17,12,8,1
-127,4,-2,-9,-9,-4,-5,-1
-128,-4,-7,-9,-16,-13,-8,-6
-128,-7,1,9,6,-2,0,0
-126,7,-2,3,14,11,1,0
-128,-14,-5,0,-2,-10,-6,-3
-128,4,1,-3,1,10,4,0
-127,5,0,-2,-4,-3,1,1
-127,-11,-6,-3,-10,-6,-3,-3
-128,8,4,-1,1,-4,-3,-2
-128,4,0,1,-2,-3,-8,2
-127,-7,-3,1,6,-2,-4,0
-128,2,2,-5,-3,-2,3,-2
-128,-1,-1,-6,-7,-7,-14,-7
-128,-5,-2,8,7,14,28,12
-128,0,1,-3,0,-4,-10,-6
-128,-6,-1,-3,-2,0,-4,1
-128,0,-1,-2,1,-1,-4,2
-128,3,-1,-4,-8,-13,-11,-12
-128,0,-4,-2,3,9,9,3
-128,-3,-2,-2,0,6,3,0
-128,-1,-3,3,1,-1,8,1
-128,2,-1,-7,-8,-15,-14,-8
-128,3,-2,-2,-3,0,6,1
-128,-8,-2,-3,0,2,-2,-2
-128,2,-1,0,-2,-2,2,2
-128,0,-3,-3,-3,-1,1,1
-128,-4,-1,2,9,1,-7,-5
-128,4,1,0,-5,-6,-3,0
-128,-3,-2,0,4,0,-3,-2
-128,-3,-2,-2,-5,-4,-3,-2
-128,-1,0,-1,-6,-8,-4,-1
-128,9,-2,-1,0,4,3,0
-128,-2,1,-1,0,2,2,0
-128,5,2,2,-1,0,-3,0
-128,-7,-3,-1,1,1,1,0
-128,-5,-3,-4,-1,-4,0,-1
-128,3,-1,-1,-2,4,0,-2
-128,-4,-3,-1,0,-3,-4,-2
-128,4,1,1,-1,-6,-4,-2
-128,1,0,0,-2,-2,-1,1
-128,-3,-1,-2,2,2,5,0
-128,-7,-2,0,-2,-2,-1,0
-128,3,-3,0,-4,-4,-3,-2
-128,-4,-2,-1,0,0,-2,-2
-128,2,0,-2,-2,2,3,2
-128,-3,-1,0,5,1,-1,-2
-128,1,0,-7,-10,-11,-8,-5
-128,-2,1,-1,0,-4,-1,-1
-128,-4,1,3,3,1,3,1
-128,0,-3,-3,0,-2,-2,0
-128,-4,1,0,-6,-5,-1,-2
-128,-1,1,1,8,5,1,1
-128,-1,0,-1,1,0,0,0
-128,-2,0,0,-6,-3,-1,-1
-128,2,-1,-2,3,1,0,-1
-128,-2,0,0,-5,-3,-3,1
-128,-3,-2,-2,-5,-10,-5,-5
-128,-1,0,-3,1,4,-2,-2
-128,-2,-3,1,1,-2,-2,-2
-128,0,0,-3,-7,-3,-1,-1
-128,0,-2,1,5,9,6,3
-128,-6,0,-3,3,-1,-2,-1
-128,7,0,-2,0,4,-1,-2
-128,-7,-3,0,0,-2,0,-2
-128,3,1,0,0,0,-5,-1
-128,-3,-2,-1,-2,-1,0,-1
-128,-11,-1,4,4,5,1,2
-128,5,-3,-4,-10,-9,-7,-5
-128,-5,-1,0,-1,-4,-1,-1
-128,14,0,1,-1,2,-3,-3
-128,-8,-2,-2,0,3,1,3
