2017-08-28 08:58:38
emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
-128,-2,-3,-2,-4,-4,-2,0
-128,-1,1,0,-3,0,0,-1
-128,-2,0,-1,0,-1,1,-2
-128,3,-1,-2,-1,-4,0,-3
-128,1,-3,-1,-4,-6,-5,-3
-128,-4,-1,-1,-4,1,1,-1
-128,-3,0,0,7,4,3,1
-128,0,-2,2,-2,0,-2,-3
-128,-2,-1,0,4,1,1,4
-128,-10,-3,-4,-8,-11,-8,-7
-128,-7,-1,3,3,5,5,3
-128,-4,-1,-1,2,4,1,2
-128,8,2,-1,-4,-1,-1,-2
-128,-5,-5,-2,-4,-4,-2,-4
-128,3,-3,-4,-6,-6,-5,-5
-128,0,2,2,9,2,3,0
-128,-2,1,1,-2,3,3,2
-128,5,2,0,3,8,3,5
-128,-9,-5,-1,-6,-4,-3,-1
-128,6,-1,-4,-5,-6,0,-3
-128,1,-2,-3,-4,-5,-4,-2
-128,-6,-4,-2,-2,-2,0,-1
-128,-11,2,2,1,3,2,1
-128,2,-1,-1,-1,-3,-3,-2
-128,0,-1,0,-3,-2,0,-2
-128,9,0,-1,1,0,-6,-4
-128,-3,0,3,4,2,2,1
-128,-7,-1,0,-6,-2,0,-2
-128,-7,-2,2,7,2,0,1
-128,1,-2,-4,-3,-6,-4,-2
-128,4,-1,-2,-5,-5,-3,-3
-128,-4,1,-2,1,1,0,0
-128,-3,-2,-3,-4,-2,-2,-2
-128,2,2,1,3,2,1,-1
-128,7,-1,-2,-3,-3,-3,1
-128,-4,-5,-1,-4,-2,-1,1
-128,-6,-3,1,5,4,0,-1
-128,-4,-3,-2,-5,-6,-3,-2
-128,2,1,-1,3,-4,-3,-3
-128,2,0,-2,-1,2,-3,-1
-128,5,0,-3,3,4,0,0
-128,-2,-1,0,0,1,-1,-1
-128,12,1,-2,-5,-5,-2,0
-128,-22,-2,0,1,2,0,-3
-128,-1,0,4,3,4,3,2
-128,2,-1,-1,-2,-2,-1,1
-128,-1,-3,-1,-4,-2,-3,-2
-128,5,-2,2,-3,-2,-1,0
-128,-4,-1,0,0,-3,0,-2
-128,1,0,-2,2,-1,0,1
-128,-5,0,0,-3,1,1,0
-128,-2,-2,-3,-4,-4,-5,-3
-128,-3,-1,1,2,-2,-1,-2
-128,-2,0,1,-3,-7,-3,-2
-128,-5,-5,-2,2,5,1,-2
-128,3,-1,-2,-4,-7,0,-2
-128,-4,0,-2,-2,-1,-1,-1
-128,0,-2,-1,0,1,-2,-5
-128,-7,-1,1,1,1,2,1
-128,2,0,-1,2,2,-1,-1
-128,0,-1,-4,-4,-3,-3,-1
-128,-1,-2,1,-4,-1,-1,1
-128,-3,-2,-3,-3,-7,-5,-4
-128,0,-3,2,6,3,2,1
-128,-2,0,-1,-1,-1,-1,0
-128,-2,-1,0,1,2,0,-1
-128,1,0,-3,3,1,0,-3
-128,1,-1,-4,-3,-8,-5,0
-128,-1,-1,-1,-3,2,-1,-2
-128,-4,-2,-1,0,-1,1,0
-128,0,1,0,-5,-2,-2,-1
-128,2,0,0,-4,-1,-2,-2
-128,0,0,1,8,0,-2,-1
-128,-2,-1,-2,-1,5,5,2
-128,0,-1,1,2,-1,-1,0
-128,-1,-2,-3,-2,-1,-1,-1
-128,-3,0,-1,-5,-3,-1,0
-128,1,0,-2,-3,-3,-3,-2
-128,-3,-2,-4,-4,-4,0,0
2017-08-28 08:59:13
emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
-110,1,-20,-17,-6,18,2,-1
-124,-2,8,2,5,5,4,0
-128,1,1,-5,-4,-3,-2,0
-128,6,3,-1,-2,-8,-3,-1
-119,-7,-3,12,3,-4,-1,-1
-128,0,6,-9,-7,-2,-2,-1
-128,3,5,3,-2,1,2,1
-128,0,-8,-9,1,-8,-2,-3
-124,4,3,-2,-5,1,-2,-1
-128,-3,-8,-4,8,10,3,1
-125,-5,3,20,13,1,3,2
-128,0,-5,-27,-24,-2,-1,-1
-127,-4,-6,5,0,-8,-2,-2
-120,-2,-12,-6,-1,-3,-1,-1
-128,2,6,-2,8,4,0,-1
-128,-4,-1,21,14,1,-3,-3
-124,2,6,-6,-3,-6,0,-1
-125,-2,-2,3,-6,3,0,-1
-128,-2,-11,-6,-3,3,0,1
-128,-1,7,1,2,2,1,-1
-123,0,9,1,-5,-5,-2,-1
-127,0,-2,10,12,-9,-7,-4
-128,2,-8,-14,-9,-1,-3,-4
-128,-7,4,10,4,8,5,3
-111,0,3,0,-2,-4,-6,-3
-124,-3,-9,10,16,-1,0,-1
-128,1,4,-6,-1,5,4,2
-128,-9,-6,0,-6,-5,-2,-2
-119,-1,-1,-9,-11,-3,-3,-2
-128,-2,-2,-7,-13,-18,-11,-7
-128,1,-2,4,8,4,-1,-3
-128,2,1,9,15,11,9,5
-124,0,1,0,-1,-5,-4,-3
-128,0,-1,-2,-3,7,2,3
-125,-4,0,-2,-9,-9,-6,-3
-128,-3,0,-2,5,8,0,-3
-127,-1,-4,6,6,5,5,1
-120,1,1,-3,-4,-3,1,1
-128,0,-3,1,0,2,0,0
-128,-1,-2,-4,-7,-4,-3,-3
-124,-1,-2,-4,-2,-7,-6,-4
-125,-1,0,4,3,3,2,1
-128,-1,0,10,9,-10,-5,-1
-128,4,1,-8,-19,-4,-5,-5
-123,5,4,11,26,9,6,3
-127,-4,-3,-26,-18,4,1,3
-128,-5,0,2,-1,-4,-1,-1
-128,3,1,9,5,-7,-5,-3
-126,-3,1,5,3,4,5,4
-128,3,2,4,0,4,-2,-3
-128,-1,-1,0,4,3,2,0
-128,-3,-3,-11,-8,-8,-5,-4
-127,-2,-4,-9,-13,-7,-4,-5
-128,-2,2,5,8,-1,2,0
-127,-3,-5,-7,-8,3,3,2
-128,-3,0,4,9,-2,-3,-2
-128,-3,-2,-4,0,-2,-3,-1
-126,2,1,2,-2,-3,-5,-2
-128,0,0,-3,-11,-19,-11,-8
-128,0,-1,4,1,7,8,4
-127,-2,-2,-12,0,5,2,3
-127,0,0,7,0,-4,-1,-3
-128,2,-1,-6,-4,0,1,2
-128,0,5,6,4,-4,-3,-1
-127,-1,-1,-8,-16,-8,-4,-4
-128,-2,-2,1,10,2,0,-3
-128,-5,-1,-1,4,7,3,2
-128,0,-1,2,-1,-6,-5,-3
-127,-1,1,6,2,5,5,2
-128,-4,-4,-6,-10,-6,-4,-3
-128,-1,1,1,5,1,-1,-2
-128,-4,-5,-14,-9,-6,-6,-3
-128,1,-3,-1,-3,-7,-3,-2
-128,-1,3,6,2,3,1,4
-128,-6,-3,-1,5,5,1,-3
-128,4,0,-8,-13,3,5,2
-128,-6,-8,-2,1,-4,-4,-3
-128,-4,0,1,-1,-1,-1,-2
-128,2,-2,0,-4,-5,-6,-5
-128,-2,1,7,9,-4,0,1
-128,1,-3,-12,-10,3,0,-2
-128,2,1,-8,-11,-1,1,-2
-128,-3,-3,-12,-7,-1,1,-1
-128,-4,-4,-3,-2,-5,-4,-3
-128,0,3,10,6,0,0,0
-128,-1,-4,-5,-7,-4,-3,-4
-128,2,-2,10,10,7,4,1
-128,-1,-1,1,10,11,3,0
-128,0,2,2,-6,-3,-1,1
-128,-4,-2,-6,-8,-4,-6,-2
-128,0,0,-3,-7,-12,-6,-6
-128,-1,-1,0,-6,-1,0,1
-128,0,-1,7,6,3,1,2
-128,1,-2,-5,-3,-2,-1,0
-128,-1,-2,-3,0,-1,-4,-1
-128,-5,-3,-3,-2,-2,-1,-3
-128,-1,-2,-5,-9,-12,-11,-8
-128,-3,-1,4,5,6,9,3
-128,1,1,0,4,7,2,1
-128,0,-3,-5,-4,-3,-3,-2
-128,-2,0,1,0,0,0,0
-128,-1,-3,0,-2,-7,-6,-2
-128,0,0,-2,-4,0,-1,-1
-128,2,0,-4,-3,0,0,-1
-128,-1,1,4,3,4,1,0
-128,-4,2,3,4,1,-1,-1
-128,1,-1,-4,-7,-7,-3,-3
-128,-2,0,4,8,4,3,5
-128,-3,-1,-2,1,3,4,0
-128,-1,-2,1,3,-1,-3,-4
-128,-2,1,-2,-5,-6,-5,-2
-128,0,0,-4,-6,-8,-6,-5
-128,0,-1,1,0,4,4,0
-128,2,0,0,5,4,2,0
-128,-1,-2,0,-3,-4,-3,0
-128,-1,-2,-7,-10,-9,-3,-3
-128,-4,1,4,6,-1,0,-1
-128,0,-2,0,2,5,1,0
-128,-1,-1,-2,1,1,0,-1
-128,0,0,0,-6,-3,-5,-4
-128,-2,-2,-2,-2,-4,-2,-3
-128,0,0,4,3,1,3,0
-128,-1,-3,3,-5,-3,0,-3
-128,0,-1,-6,-2,6,5,3
-128,1,-1,-4,4,-4,-6,-4
-128,-4,-2,5,-1,-1,1,0
-128,-3,0,-1,4,4,3,3
-128,-2,0,3,3,-1,-2,-3
-128,0,-1,-5,-9,-4,-2,-3
-128,-2,-2,-3,-6,-6,-4,-2
-128,0,-1,-1,1,1,1,1
-128,0,-1,1,-2,-3,-1,0
-128,-1,0,-4,5,3,0,1
-128,-1,-2,-3,-7,-3,-2,-4
-128,-1,0,5,10,-1,0,1
-128,-3,-6,-9,-5,-2,-6,-6
-128,-3,-6,0,-1,3,1,1
-128,-1,5,3,11,7,6,6
-128,-1,-2,-3,-10,0,-2,-1
-128,3,1,1,0,-2,-1,0
-128,-3,-1,-2,-5,-4,-4,-4
-128,-1,-4,-5,-10,-6,-5,-6
-128,0,0,1,5,2,-1,0
-128,-1,3,4,13,4,3,1
-128,-2,-5,-3,-9,-5,-1,-2
-128,1,-3,-3,-2,-3,-3,-1
-128,-1,-3,-2,-7,-6,-2,-3
-128,-2,0,-1,1,0,-1,1
-128,-1,1,4,9,8,6,2
-128,-3,0,-3,-6,-3,-1,1
-128,-3,-3,-4,-9,-5,-6,-4
-128,4,0,5,-2,0,-1,-1
-128,1,0,4,14,0,0,-2
-128,0,-2,-16,-14,0,-1,3
-128,1,-1,-3,-8,-6,-2,-1
-128,-2,-2,0,4,5,5,0
-128,-1,1,5,-7,-5,-3,-4
-128,1,0,4,9,0,-1,-2
-128,-1,0,-6,-2,-2,-3,-2
-128,0,-3,-1,-8,-6,-3,0
-128,-1,-2,-2,0,-1,2,2
-128,-1,-1,2,3,-1,-1,-1
-128,-2,0,0,-6,1,0,0
-128,-2,2,-1,2,0,-1,-2
-128,1,0,-2,-6,-5,-3,-1
-128,-1,0,-2,2,2,-1,-1
-128,-1,-1,4,4,4,5,-1
-128,-2,-4,-1,0,-3,-2,0
-128,-2,0,-7,-8,-4,-6,-5
-128,2,-1,3,-1,-1,1,0
-128,-2,0,-1,5,1,-1,-1
-128,0,0,1,-1,3,2,2
-128,-5,-2,1,1,1,1,3
-128,0,-2,-3,-7,-7,-5,-6
-128,-3,-4,0,0,3,1,-1
-128,-2,0,0,-6,-8,-4,-4
-128,2,1,3,2,2,0,0
-128,-4,-3,-6,8,5,2,1
-128,-1,-1,-3,-8,-6,-2,-1
-128,0,-2,-3,-4,-5,-3,-2
-128,0,-2,-2,-2,-1,0,-2
-128,0,-1,4,4,1,0,0
-128,-2,-2,-1,-3,-3,-1,-1
-128,-3,1,1,0,3,2,-2
-128,-3,-3,-1,-3,-3,-2,-1
-128,-2,-1,2,-2,-1,-2,-1
-128,0,0,-2,-2,0,-1,-2
-128,0,-1,-1,2,-3,-5,-3
-128,-1,0,1,-3,3,2,0
-128,-2,-1,0,-2,0,-1,-1
-128,-2,-1,-2,0,0,-1,-2
-128,-1,-2,-4,-2,3,3,1
-128,-2,0,-4,0,-2,-1,-1
-128,-1,0,-1,0,-3,-3,-3
-128,0,0,1,2,0,-1,1
-128,-2,-2,-3,-5,0,-1,1
-128,-2,-3,-3,-3,-3,-4,-2
-128,0,-2,0,-3,-4,-4,-3
-128,-1,0,2,4,1,4,1
-128,-2,-3,1,1,-2,0,-1
