2017-08-28 08:59:47
emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
-123,-9,-4,-17,-2,0,0,0
-127,0,0,4,-12,-9,-4,-2
-110,1,2,13,-2,-1,0,-1
-124,-2,-3,-18,10,9,2,1
-128,-2,-1,2,-1,1,-2,-2
-128,0,-3,5,-6,-4,-2,-2
-119,-12,-2,-15,-6,-3,0,-2
-128,4,0,8,10,-8,-4,-3
-128,-2,-7,-20,-8,0,2,-1
-128,1,2,15,5,10,2,-1
-124,-1,0,-19,-13,-5,-1,0
-128,0,-4,8,0,-1,-1,-2
-125,-13,3,8,2,-10,-6,-2
-128,-2,-3,-13,-5,-1,-1,-1
-127,0,0,10,-14,-2,0,0
-120,-5,1,8,11,0,1,0
-128,5,-4,-6,-1,2,1,1
-128,1,0,-5,5,-3,-1,1
-124,3,1,5,6,4,0,0
-125,-6,2,21,11,-1,-3,-1
-128,5,-4,-23,-14,-2,1,-1
-128,-2,0,5,3,-1,0,-2
-123,1,-3,0,5,0,-1,-1
-127,0,0,-4,0,-1,-2,-2
-128,-1,2,9,-3,-9,-3,1
-128,-1,-4,-21,-13,6,-1,-2
-126,2,-2,7,5,1,2,0
-128,1,2,14,-4,-1,0,1
-128,-2,1,11,14,-1,-4,-2
-128,-11,-7,-34,-8,-6,-2,-3
-127,-3,-3,5,1,-2,-3,0
-128,1,0,-16,-17,-1,-1,-1
-127,6,3,7,0,0,0,0
-128,-5,-1,18,11,-6,-3,-6
-128,-2,0,-10,6,6,1,-2
-126,-4,-5,2,10,4,3,1
-128,0,-2,-16,-10,-1,-3,-1
-128,1,1,17,0,-6,-3,-1
-127,2,-4,-13,-7,-1,-1,0
-127,3,3,7,7,-3,-2,-2
-128,-4,1,-16,-19,-6,-4,-2
-128,-5,-3,-11,6,2,0,0
-127,8,-3,-3,-9,-12,-4,-2
-128,-7,-1,8,-7,6,0,-2
-128,2,-2,5,25,10,4,1
-128,-3,-4,-20,-18,-4,-2,1
-127,9,0,11,13,-4,-2,-2
-128,-4,0,-13,-27,-15,-6,-4
-128,-7,-3,11,4,9,4,-3
-128,3,1,-3,-2,5,1,3
-128,-11,-2,-2,-2,-1,-2,-2
-128,5,0,-8,-4,-3,-2,0
-128,1,-2,9,-12,-9,-4,-3
-128,6,4,19,25,2,1,-1
-128,-3,-2,-27,-11,7,2,2
-128,-2,-2,-7,-9,-4,-2,-1
-128,-6,-4,7,6,-1,-2,-4
-128,1,3,21,2,-4,-2,1
-128,-1,-2,-6,-2,-5,-2,0
-128,-1,2,5,-2,-1,1,-1
-128,-4,-4,-15,10,4,0,-1
-128,-1,2,2,-5,-1,-2,-2
-128,-2,0,5,4,-3,-4,-1
-128,2,-3,-4,7,6,3,1
-128,-3,3,8,-4,-3,1,1
-128,2,-3,-11,-22,-9,-3,-3
-128,-4,0,23,28,-5,-4,-2
-128,-10,-5,-21,-21,2,1,-1
-128,6,-3,-19,1,7,2,1
-128,-6,-1,4,0,-2,-2,-2
-128,-3,0,5,-10,-4,-3,-4
-128,10,0,17,18,-9,-3,-1
-128,1,4,-5,0,5,1,1
-128,-6,-8,-9,-5,3,-1,-1
-128,0,0,12,-2,-12,-3,-2
-128,-1,-1,-11,-2,9,1,0
-128,-3,-1,-4,-3,-2,-2,0
-128,0,0,4,-2,-3,2,1
-128,-7,-1,-1,-7,1,1,-2
-128,4,-1,-8,-12,-5,-3,0
-128,-2,-1,9,-4,1,-1,-1
-128,0,0,0,-2,-5,-3,-2
-128,-2,-2,1,16,8,-1,-2
-128,-4,-5,-19,-16,-1,1,0
-128,2,1,9,4,-1,2,-3
-128,6,-1,-2,0,-3,-2,-3
-128,-17,-1,0,-16,-2,-1,-3
-128,10,1,14,17,-8,-3,-3
-128,3,0,-1,-2,7,0,1
-128,-2,0,3,12,12,4,-2
-128,0,-1,-8,-14,-8,-2,1
-128,-6,-4,10,10,1,-3,-3
-128,-3,-1,0,-5,-12,-2,0
-128,-3,0,-12,-3,1,-3,-2
-128,5,2,0,-8,4,0,-1
-128,-5,-1,-2,2,-5,-2,-3
-128,0,-1,8,5,-2,0,0
-128,-4,-1,-11,-14,1,0,3
-128,2,-1,12,17,7,0,0
-128,-4,-7,-36,-18,-3,0,-1
-128,5,2,18,6,-2,-2,-2
-128,7,-3,-20,-16,-3,0,0
-128,-23,-4,-6,-4,-4,-4,-4
-128,-7,2,13,-4,-1,-1,-1
-128,3,-9,-31,-11,2,0,-2
-128,5,0,11,15,-8,-1,1
-128,9,3,-4,0,11,4,-2
-128,-3,1,5,4,-6,-3,-2
-128,-4,-3,3,1,-2,-1,-2
-128,-1,0,5,-6,-4,-3,-2
-128,4,-1,-5,0,-3,-2,0
-128,-3,-2,-2,-4,3,0,1
-128,2,2,1,-4,-4,-3,0
-128,-3,0,7,4,0,-2,-2
-128,3,-2,-15,-5,-4,-2,0
-128,1,-1,-13,-4,2,1,0
-128,-6,-1,1,-6,-9,-4,-3
-128,1,0,12,2,2,2,-1
